version,label,representative_image_rel,representative_image_abs,image_count,geometry_count,spec_count,generator_file_count,remote_file_count
33,strict_visual_matched_cases_V33_sc_tree_fused_veil_obj_zoom_seamtarget_20260511,visuals/strict_visual_matched_cases_V33_sc_tree_fused_veil_obj_zoom_seamtarget_20260511/V33_sc_tree_fused_veil_obj_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_cases_V33_sc_tree_fused_veil_obj_zoom_seamtarget_20260511/V33_sc_tree_fused_veil_obj_contact_sheet_20260511.png,18,4,13,13,0
34,strict_visual_matched_cases_V34_lsystem_branch_obj_zoom_junctiontarget_20260511,visuals/strict_visual_matched_cases_V34_lsystem_branch_obj_zoom_junctiontarget_20260511/V34_lsystem_branch_obj_junctiontarget_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_cases_V34_lsystem_branch_obj_zoom_junctiontarget_20260511/V34_lsystem_branch_obj_junctiontarget_contact_sheet_20260511.png,30,4,14,14,0
35,strict_visual_matched_texture_V35_lsystem_branch_tapered_naturalization_zoom_white_junctiontarget_20260511,visuals/strict_visual_matched_texture_V35_lsystem_branch_tapered_naturalization_zoom_white_junctiontarget_20260511/V35_lsystem_branch_tapered_naturalization_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_V35_lsystem_branch_tapered_naturalization_zoom_white_junctiontarget_20260511/V35_lsystem_branch_tapered_naturalization_contact_sheet_20260511.png,37,12,35,13,12
36,strict_visual_matched_cases_V36_lsystem_branch_obj_zoom_junctiontarget_fixed_20260511,visuals/strict_visual_matched_cases_V36_lsystem_branch_obj_zoom_junctiontarget_fixed_20260511/V36_lsystem_branch_woody_junction_obj_contact_sheet_fixed_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_cases_V36_lsystem_branch_obj_zoom_junctiontarget_fixed_20260511/V36_lsystem_branch_woody_junction_obj_contact_sheet_fixed_20260511.png,57,4,14,14,0
37,strict_visual_matched_cases_V37_lsystem_branch_obj_zoom_junctiontarget_20260511,visuals/strict_visual_matched_cases_V37_lsystem_branch_obj_zoom_junctiontarget_20260511/V37_lsystem_branch_continuous_saddle_obj_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_cases_V37_lsystem_branch_obj_zoom_junctiontarget_20260511/V37_lsystem_branch_continuous_saddle_obj_contact_sheet_20260511.png,31,4,13,13,0
38,strict_visual_matched_cases_V38_lsystem_branch_obj_zoom_junctiontarget_20260511,visuals/strict_visual_matched_cases_V38_lsystem_branch_obj_zoom_junctiontarget_20260511/V38_lsystem_branch_tipless_saddle_obj_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_cases_V38_lsystem_branch_obj_zoom_junctiontarget_20260511/V38_lsystem_branch_tipless_saddle_obj_contact_sheet_20260511.png,31,4,13,13,0
39,strict_visual_matched_cases_V39_lsystem_branch_obj_zoom_lowmid_probe_20260511,visuals/strict_visual_matched_cases_V39_lsystem_branch_obj_zoom_lowmid_probe_20260511/V39_lsystem_branch_lowmid_probe_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_cases_V39_lsystem_branch_obj_zoom_lowmid_probe_20260511/V39_lsystem_branch_lowmid_probe_contact_sheet_20260511.png,83,4,17,17,0
40,strict_visual_matched_texture_V40_lsystem_branch_primary_fork_zoom_white_20260511,visuals/strict_visual_matched_texture_V40_lsystem_branch_primary_fork_zoom_white_20260511/V40_lsystem_branch_primaryfork_glb_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_V40_lsystem_branch_primary_fork_zoom_white_20260511/V40_lsystem_branch_primaryfork_glb_contact_sheet_20260511.png,119,12,38,26,12
41,strict_visual_matched_texture_V41_lsystem_branch_dense_fork_zoom_white_20260511,visuals/strict_visual_matched_texture_V41_lsystem_branch_dense_fork_zoom_white_20260511/V41_lsystem_branch_dense_fork_glb_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_V41_lsystem_branch_dense_fork_zoom_white_20260511/V41_lsystem_branch_dense_fork_glb_contact_sheet_20260511.png,62,12,34,22,12
42,strict_visual_matched_texture_V42_lsystem_branch_cluster_fork_zoom_white_20260511,visuals/strict_visual_matched_texture_V42_lsystem_branch_cluster_fork_zoom_white_20260511/V42_lsystem_branch_cluster_fork_glb_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_V42_lsystem_branch_cluster_fork_zoom_white_20260511/V42_lsystem_branch_cluster_fork_glb_contact_sheet_20260511.png,84,12,36,24,12
43,strict_visual_matched_cases_V43_lsystem_branch_obj_zoom_woodyfork_20260511,visuals/strict_visual_matched_cases_V43_lsystem_branch_obj_zoom_woodyfork_20260511/V43_lsystem_branch_wood_yfork_obj_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_cases_V43_lsystem_branch_obj_zoom_woodyfork_20260511/V43_lsystem_branch_wood_yfork_obj_contact_sheet_20260511.png,30,4,13,13,0
44,strict_visual_matched_cases_V44_lsystem_branch_obj_zoom_elongatedsaddle_20260511,visuals/strict_visual_matched_cases_V44_lsystem_branch_obj_zoom_elongatedsaddle_20260511/V44_lsystem_branch_elongated_saddle_obj_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_cases_V44_lsystem_branch_obj_zoom_elongatedsaddle_20260511/V44_lsystem_branch_elongated_saddle_obj_contact_sheet_20260511.png,30,4,13,13,0
45,strict_visual_matched_cases_V45_lsystem_branch_obj_zoom_smoke_implicitwoodfork_20260511,visuals/strict_visual_matched_cases_V45_lsystem_branch_obj_zoom_smoke_implicitwoodfork_20260511/V45_lsystem_branch_implicit_wood_fork_smoke_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_cases_V45_lsystem_branch_obj_zoom_smoke_implicitwoodfork_20260511/V45_lsystem_branch_implicit_wood_fork_smoke_contact_sheet_20260511.png,12,1,10,10,0
46,strict_visual_matched_cases_V46_lsystem_branch_obj_zoom_continuoussweepfork_20260511,visuals/strict_visual_matched_cases_V46_lsystem_branch_obj_zoom_continuoussweepfork_20260511/V46_lsystem_branch_continuous_sweep_fork_obj_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_cases_V46_lsystem_branch_obj_zoom_continuoussweepfork_20260511/V46_lsystem_branch_continuous_sweep_fork_obj_contact_sheet_20260511.png,30,4,13,13,0
47,strict_visual_matched_cases_V47_lsystem_branch_obj_zoom_sharedneckyfork_20260511,visuals/strict_visual_matched_cases_V47_lsystem_branch_obj_zoom_sharedneckyfork_20260511/V47_lsystem_branch_shared_neck_yfork_obj_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_cases_V47_lsystem_branch_obj_zoom_sharedneckyfork_20260511/V47_lsystem_branch_shared_neck_yfork_obj_contact_sheet_20260511.png,30,4,13,13,0
48,strict_visual_matched_cases_V48_lsystem_branch_obj_zoom_implicitcapsuleyfork_20260511,visuals/strict_visual_matched_cases_V48_lsystem_branch_obj_zoom_implicitcapsuleyfork_20260511/V48_lsystem_branch_implicit_capsule_yfork_obj_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_cases_V48_lsystem_branch_obj_zoom_implicitcapsuleyfork_20260511/V48_lsystem_branch_implicit_capsule_yfork_obj_contact_sheet_20260511.png,30,4,13,13,0
49,strict_visual_matched_texture_V49_lsystem_branch_highres_smooth_yfork_zoom_white_20260511,visuals/strict_visual_matched_texture_V49_lsystem_branch_highres_smooth_yfork_zoom_white_20260511/V49_lsystem_branch_highres_smooth_yfork_glb_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_V49_lsystem_branch_highres_smooth_yfork_zoom_white_20260511/V49_lsystem_branch_highres_smooth_yfork_glb_contact_sheet_20260511.png,83,18,48,23,12
