source_table,source_rows,group_by,group_value,column,n,mean,median,min,max
results/baseline_matrix_seed_20260511/metrics.csv,36,method,space_colonization,mesh_component_count,12,1.333333,1.0,1.0,4.0
results/baseline_matrix_seed_20260511/metrics.csv,36,method,space_colonization,largest_occupancy_component_ratio_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260511/metrics.csv,36,method,space_colonization,occupancy_component_count_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260511/metrics.csv,36,case,root,vertices,12,3235.166667,708.0,298.0,9558.0
results/baseline_matrix_seed_20260511/metrics.csv,36,case,root,faces,12,6533.666667,1412.0,592.0,19812.0
results/baseline_matrix_seed_20260511/metrics.csv,36,case,root,mesh_component_count,12,1.25,1.0,1.0,4.0
results/baseline_matrix_seed_20260511/metrics.csv,36,case,root,largest_occupancy_component_ratio_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260511/metrics.csv,36,case,root,occupancy_component_count_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260511/metrics.csv,36,case,tree,vertices,12,3764.916667,758.0,246.0,11088.0
results/baseline_matrix_seed_20260511/metrics.csv,36,case,tree,faces,12,7541.833333,1526.0,488.0,22240.0
results/baseline_matrix_seed_20260511/metrics.csv,36,case,tree,mesh_component_count,12,1.166667,1.0,1.0,3.0
results/baseline_matrix_seed_20260511/metrics.csv,36,case,tree,largest_occupancy_component_ratio_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260511/metrics.csv,36,case,tree,occupancy_component_count_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260511/metrics.csv,36,case,vine,vertices,12,3263.583333,1221.0,300.0,8983.0
results/baseline_matrix_seed_20260511/metrics.csv,36,case,vine,faces,12,6607.166667,2438.0,596.0,18058.0
results/baseline_matrix_seed_20260511/metrics.csv,36,case,vine,mesh_component_count,12,1.083333,1.0,1.0,2.0
results/baseline_matrix_seed_20260511/metrics.csv,36,case,vine,largest_occupancy_component_ratio_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260511/metrics.csv,36,case,vine,occupancy_component_count_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260512/metrics.csv,36,,,vertices,36,3444.277778,866.0,246.0,10910.0
results/baseline_matrix_seed_20260512/metrics.csv,36,,,faces,36,6926.277778,1728.0,488.0,21872.0
results/baseline_matrix_seed_20260512/metrics.csv,36,,,mesh_component_count,36,1.222222,1.0,1.0,4.0
results/baseline_matrix_seed_20260512/metrics.csv,36,,,largest_occupancy_component_ratio_6n,36,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260512/metrics.csv,36,,,occupancy_component_count_6n,36,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260512/metrics.csv,36,method,lsystem,vertices,12,535.833333,517.0,246.0,895.0
results/baseline_matrix_seed_20260512/metrics.csv,36,method,lsystem,faces,12,1075.0,1030.0,488.0,1832.0
results/baseline_matrix_seed_20260512/metrics.csv,36,method,lsystem,mesh_component_count,12,1.416667,1.0,1.0,4.0
results/baseline_matrix_seed_20260512/metrics.csv,36,method,lsystem,largest_occupancy_component_ratio_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260512/metrics.csv,36,method,lsystem,occupancy_component_count_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260512/metrics.csv,36,method,proposed_connected,vertices,12,826.166667,670.0,354.0,1948.0
results/baseline_matrix_seed_20260512/metrics.csv,36,method,proposed_connected,faces,12,1648.666667,1336.0,704.0,3892.0
results/baseline_matrix_seed_20260512/metrics.csv,36,method,proposed_connected,mesh_component_count,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260512/metrics.csv,36,method,proposed_connected,largest_occupancy_component_ratio_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260512/metrics.csv,36,method,proposed_connected,occupancy_component_count_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260512/metrics.csv,36,method,space_colonization,vertices,12,8970.833333,9309.0,7110.0,10910.0
results/baseline_matrix_seed_20260512/metrics.csv,36,method,space_colonization,faces,12,18055.166667,18650.0,14272.0,21872.0
results/baseline_matrix_seed_20260512/metrics.csv,36,method,space_colonization,mesh_component_count,12,1.25,1.0,1.0,4.0
results/baseline_matrix_seed_20260512/metrics.csv,36,method,space_colonization,largest_occupancy_component_ratio_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260512/metrics.csv,36,method,space_colonization,occupancy_component_count_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260512/metrics.csv,36,case,root,vertices,12,3369.916667,709.0,298.0,10145.0
results/baseline_matrix_seed_20260512/metrics.csv,36,case,root,faces,12,6759.833333,1414.0,592.0,20418.0
results/baseline_matrix_seed_20260512/metrics.csv,36,case,root,mesh_component_count,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260512/metrics.csv,36,case,root,largest_occupancy_component_ratio_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260512/metrics.csv,36,case,root,occupancy_component_count_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260512/metrics.csv,36,case,tree,vertices,12,3526.75,760.0,246.0,10910.0
results/baseline_matrix_seed_20260512/metrics.csv,36,case,tree,faces,12,7067.833333,1528.0,488.0,21872.0
results/baseline_matrix_seed_20260512/metrics.csv,36,case,tree,mesh_component_count,12,1.416667,1.0,1.0,4.0
results/baseline_matrix_seed_20260512/metrics.csv,36,case,tree,largest_occupancy_component_ratio_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260512/metrics.csv,36,case,tree,occupancy_component_count_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_seed_20260512/metrics.csv,36,case,vine,vertices,12,3436.166667,1221.0,300.0,9469.0
results/baseline_matrix_seed_20260512/metrics.csv,36,case,vine,faces,12,6951.166667,2438.0,596.0,19424.0
